1,箱崎中学校,東区筥松四丁目２１番２２号,092-611-2296,092-611-2297
2,福岡中学校,東区馬出三丁目１１番１号,092-641-6685,092-641-6686
3,千代中学校,博多区千代四丁目１７番４７号,092-641-4531,092-641-4532
4,東光中学校,博多区東光二丁目１５番１号,092-411-2935,092-411-2936
5,博多中学校,博多区対馬小路１３番４０号,092-281-6644,092-281-6645
7,東住吉中学校,博多区博多駅南二丁目５番１号,092-431-6064,092-431-6065
8,春吉中学校,南区清水四丁目２１番５０号,092-551-4411,092-551-4412
9,舞鶴中学校,中央区舞鶴二丁目６番１号,092-741-4985,092-741-4986
10,高宮中学校,南区大楠三丁目１１番１号,092-531-2631,092-531-2632
11,三宅中学校,南区大橋三丁目１８番１号,092-551-3535,092-551-3536
12,警固中学校,中央区赤坂二丁目５番２３号,092-771-2031,092-771-2032
13,当仁中学校,中央区福浜二丁目７番１号,092-761-7831,092-761-7832
14,城西中学校,城南区鳥飼六丁目４番１号,092-821-0938,092-852-7145
15,百道中学校,早良区百道三丁目18番11号,092-821-1738,092-821-1739
16,西福岡中学校,早良区小田部三丁目３２番１号,092-821-5333,092-821-5334
17,姪浜中学校,西区愛宕浜一丁目３２番１号,092-881-1038,092-881-1039
18,玄洋中学校,西区横浜二丁目３４番１号,092-806-0041,092-806-0357
19,能古中学校,西区能古３５７番地,092-881-0595,092-881-8385
20,香椎第１中学校,東区千早三丁目１２番１号,092-681-0765,092-681-0766
21,多々良中学校,東区水谷一丁目１８番１号,092-681-1638,092-681-1639
22,住吉中学校,博多区美野島三丁目２２番７号,092-431-2811,092-431-2812
23,花畑中学校,南区桧原二丁目２１番１号,092-565-0901,092-565-0903
24,高取中学校,早良区原三丁目３番１号,092-821-5362,092-821-5363
25,友泉中学校,中央区笹丘一丁目２２番１号,092-751-2388,092-751-2389
26,筑紫丘中学校,南区筑紫丘二丁目２８番１号,092-541-4831,092-541-4832
27,三筑中学校,博多区三筑一丁目１０番１号,092-581-1308,092-581-1018
28,那珂中学校,博多区那珂二丁目１８番１号,092-431-2338,092-431-2339
29,和白中学校,東区三苫一丁目１０番１号,092-606-5031,092-606-5032
30,金武中学校,早良区四箇三丁目１番３号,092-811-3974,092-811-1318
31,吉塚中学校,博多区吉塚五丁目１０番６号,092-621-9163,092-621-9164
32,城南中学校,城南区茶山六丁目１９番１号,092-821-4833,092-821-4834
33,元岡中学校,西区大字田尻１０８番地,092-806-1039,092-806-1439
34,北崎中学校,西区大字小田１３８３番地,092-809-2621,092-809-2622
35,平尾中学校,中央区平和五丁目１１番１号,092-521-1768,092-521-1769
36,玄界中学校,西区大字玄界島２３９番地,092-809-2955,092-809-2957
37,梅林中学校,城南区梅林三丁目６番１号,092-871-4100,092-871-7113
38,長尾中学校,城南区樋井川四丁目１３番１号,092-871-2998,092-871-6680
39,小呂中学校,西区大字小呂島２８５番地,092-809-2911,092-809-1819
40,志賀中学校,東区大岳四丁目５番１号,092-603-0043,092-603-2204
41,香椎第２中学校,東区香住ケ丘一丁目８番１号,092-661-2073,092-661-2019
42,曰佐中学校,南区曰佐三丁目７番１号,092-501-2043,092-501-2959
43,原中学校,早良区飯倉四丁目３４番５８号,092-801-4688,092-801-4690
44,席田中学校,博多区東平尾三丁目３番１号,092-611-0867,092-611-0967
45,壱岐中学校,西区拾六町二丁目１６番１号,092-811-0551,092-811-0582
46,早良中学校,早良区内野七丁目１番１号,092-804-2206,092-804-2215
47,多々良中央中学校,東区多々良一丁目５１番１号,092-691-3911,092-691-3912
48,原北中学校,早良区小田部七丁目１１番１号,092-851-3344,092-851-3522
49,長丘中学校,南区長丘二丁目２６番１号,092-561-7866,092-561-3594
50,西陵中学校,西区生の松原三丁目９番１号,092-881-1733,092-881-4691
51,田隈中学校,早良区田村四丁目２５番１号,092-864-2479,092-864-2486
52,和白丘中学校,東区和白丘三丁目１３番１号,092-606-7611,092-606-7612
53,内浜中学校,西区内浜一丁目１２番１号,092-882-3855,092-882-3866
54,老司中学校,南区老司三丁目３７番１号,092-565-1960,092-565-1961
55,次郎丸中学校,早良区次郎丸六丁目３番１号,092-862-3711,092-862-3749
56,香椎第３中学校,東区香椎駅東三丁目３３番１号,092-662-7668,092-662-8456
57,柏原中学校,南区柏原一丁目８番１号,092-566-1181,092-566-1482
58,城香中学校,東区香椎浜二丁目２番１号,092-662-0765,092-662-0766
59,片江中学校,城南区南片江六丁目２７番１号,092-871-6221,092-871-6256
60,壱岐丘中学校,西区羽根戸３０３番地１,092-811-7731,092-811-7760
61,板付中学校,博多区井相田二丁目１番２０号,092-575-1791,092-575-1792
62,下山門中学校,西区下山門三丁目１２番１号,092-882-6361,092-882-6362
63,宮竹中学校,南区五十川一丁目４番１号,092-481-5781,092-481-5820
64,横手中学校,南区横手四丁目１６番１号,092-501-6451,092-501-6452
65,原中央中学校,早良区原一丁目３６番１号,092-845-5415,092-845-5416
66,青葉中学校,東区青葉三丁目７番１号,092-691-9386,092-691-9629
67,野間中学校,南区筑紫丘二丁目２番１号,092-542-6388,092-542-3694
68,松崎中学校,東区松崎一丁目５２番１号,092-682-0031,092-682-0124
69,箱崎清松中学校,東区松田二丁目３番１号,092-612-1237,092-612-1238
70,照葉中学校,東区香椎照葉二丁目２番１号,092-681-1310,092-681-1311
